FIPStxt,State,Area_Name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2016,CI90LBAll_2016,CI90UBALL_2016,PCTPOVALL_2016,CI90LBALLP_2016,CI90UBALLP_2016,POV017_2016,CI90LB017_2016,CI90UB017_2016,PCTPOV017_2016,CI90LB017P_2016,CI90UB017P_2016,POV517_2016,CI90LB517_2016,CI90UB517_2016,PCTPOV517_2016,CI90LB517P_2016,CI90UB517P_2016,MEDHHINC_2016,CI90LBINC_2016,CI90UBINC_2016,POV05_2016,CI90LB05_2016,CI90UB05_2016,PCTPOV05_2016,CI90LB05P_2016,CI90UB05P_2016
00000,US,United States,,,,,"44,268,996","44,022,086","44,515,906",14.0,14.0,14.0,"14,115,713","13,976,345","14,255,081",20.0,19.0,20.0,"9,648,486","9,548,767","9,748,205",18.0,18.0,19.0,"57,617","57,502","57,732","4,156,949","4,108,397","4,205,501",21.0,21.0,22.0
01000,AL,Alabama,,,,,"814,197","796,927","831,467",17.0,17.0,18.0,"267,674","258,276","277,072",25.0,24.0,26.0,"185,889","177,569","194,209",24.0,22.0,25.0,"46,309","45,650","46,968","78,675","74,257","83,093",27.0,26.0,29.0
01001,AL,Autauga County,2,2,2,2,"7,444","6,255","8,633",14.0,11.0,16.0,"2,588","2,090","3,086",19.0,16.0,23.0,"1,887","1,522","2,252",18.0,15.0,22.0,"54,487","50,886","58,088",,,,,,
01003,AL,Baldwin County,4,5,3,2,"24,005","20,132","27,878",12.0,10.0,14.0,"7,881","6,231","9,531",18.0,14.0,21.0,"5,512","4,262","6,762",17.0,13.0,20.0,"56,460","53,250","59,670",,,,,,
01005,AL,Barbour County,6,6,6,6,"6,787","5,551","8,023",30.0,25.0,35.0,"2,146","1,675","2,617",40.0,31.0,48.0,"1,502","1,160","1,844",37.0,28.0,45.0,"32,884","29,684","36,084",,,,,,
01007,AL,Bibb County,1,1,1,1,"4,099","3,194","5,004",20.0,16.0,25.0,"1,263",976,"1,550",28.0,21.0,34.0,892,683,"1,101",27.0,21.0,33.0,"43,079","38,896","47,262",,,,,,
01009,AL,Blount County,1,1,1,1,"8,033","6,506","9,560",14.0,11.0,17.0,"2,568","1,998","3,138",19.0,15.0,24.0,"1,744","1,324","2,164",18.0,13.0,22.0,"47,213","43,017","51,409",,,,,,
01011,AL,Bullock County,6,6,6,6,"2,841","2,155","3,527",33.0,25.0,41.0,995,757,"1,233",46.0,35.0,57.0,689,516,862,44.0,33.0,55.0,"34,278","31,716","36,840",,,,,,
01013,AL,Butler County,6,6,6,6,"4,880","4,033","5,727",25.0,21.0,29.0,"1,708","1,365","2,051",37.0,29.0,44.0,"1,187",931,"1,443",34.0,27.0,42.0,"35,409","32,142","38,676",,,,,,
01015,AL,Calhoun County,3,2,3,2,"19,057","16,226","21,888",17.0,15.0,20.0,"6,313","5,189","7,437",26.0,21.0,30.0,"4,397","3,556","5,238",24.0,20.0,29.0,"41,778","38,806","44,750",,,,,,
01017,AL,Chambers County,6,5,6,5,"6,656","5,264","8,048",20.0,16.0,24.0,"2,292","1,754","2,830",33.0,25.0,40.0,"1,623","1,218","2,028",32.0,24.0,40.0,"39,530","36,789","42,271",,,,,,
01019,AL,Cherokee County,8,6,6,6,"4,273","3,327","5,219",17.0,13.0,21.0,"1,387","1,051","1,723",28.0,21.0,34.0,982,737,"1,227",25.0,19.0,32.0,"41,456","37,387","45,525",,,,,,
01021,AL,Chilton County,1,1,1,1,"7,960","6,561","9,359",18.0,15.0,22.0,"2,740","2,148","3,332",26.0,21.0,32.0,"1,902","1,457","2,347",25.0,19.0,31.0,"44,188","40,078","48,298",,,,,,
01023,AL,Choctaw County,9,10,9,10,"2,910","2,296","3,524",23.0,18.0,28.0,852,654,"1,050",33.0,25.0,40.0,595,452,738,30.0,23.0,38.0,"32,691","30,165","35,217",,,,,,
01025,AL,Clarke County,7,11,7,11,"6,977","6,090","7,864",29.0,25.0,33.0,"2,068","1,736","2,400",39.0,33.0,45.0,"1,354","1,096","1,612",34.0,28.0,41.0,"34,061","31,391","36,731",,,,,,
01027,AL,Clay County,9,10,9,10,"2,495","2,012","2,978",19.0,15.0,23.0,781,612,950,28.0,22.0,34.0,537,406,668,26.0,20.0,33.0,"38,512","34,501","42,523",,,,,,
01029,AL,Cleburne County,8,4,8,4,"2,527","2,037","3,017",17.0,14.0,21.0,831,647,"1,015",25.0,19.0,30.0,584,447,721,23.0,18.0,29.0,"43,483","39,142","47,824",,,,,,
01031,AL,Coffee County,6,5,4,5,"7,271","6,008","8,534",14.0,12.0,17.0,"2,554","2,014","3,094",21.0,17.0,26.0,"1,702","1,305","2,099",19.0,15.0,24.0,"48,632","44,663","52,601",,,,,,
01033,AL,Colbert County,3,2,3,2,"8,982","7,483","10,481",17.0,14.0,20.0,"2,851","2,266","3,436",25.0,20.0,30.0,"1,911","1,478","2,344",23.0,18.0,28.0,"46,572","42,799","50,345",,,,,,
