State,Number of CoCs,"Total Homeless, 2014","Sheltered Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Chronically Homeless, 2014","Sheltered Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014"
AK,2,"1,784","1,639",145,"1,209","1,109",100,575,530,45,206,137,69,182,119,63,24,18,6,178,160,18
AL,8,"4,561","3,518","1,043","3,115","2,373",742,"1,446","1,145",301,729,283,446,618,245,373,111,38,73,542,450,92
AR,6,"2,936","1,503","1,433","2,303","1,070","1,233",633,433,200,519,85,434,516,82,434,3,3,0,361,220,141
AZ,3,"10,495","7,926","2,569","6,194","3,851","2,343","4,301","4,075",226,959,316,643,904,303,601,55,13,42,858,635,223
CA,40,"113,952","42,515","71,437","90,765","24,857","65,908","23,187","17,658","5,529","31,078","5,131","25,947","28,200","4,417","23,783","2,878",714,"2,164","12,096","4,457","7,639"
CO,3,"10,028","8,083","1,945","5,573","4,035","1,538","4,455","4,048",407,"1,621",747,874,"1,335",635,700,286,112,174,753,528,225
CT,6,"4,450","3,531",919,"3,069","2,243",826,"1,381","1,288",93,"1,215",847,368,"1,026",696,330,189,151,38,295,221,74
DC,1,"7,748","7,352",396,"3,953","3,557",396,"3,795","3,795",0,"2,029","1,694",335,"1,609","1,274",335,420,420,0,406,375,31
DE,1,901,864,37,584,554,30,317,310,7,91,82,9,88,79,9,3,3,0,93,89,4
FL,28,"41,542","19,851","21,691","28,730","12,886","15,844","12,812","6,965","5,847","7,989","1,903","6,086","6,843","1,717","5,126","1,146",186,960,"4,552","2,424","2,128"
GA,9,"16,521","8,214","8,307","12,403","4,932","7,471","4,118","3,282",836,"3,004",945,"2,059","2,645",862,"1,783",359,83,276,"1,443",647,796
GU,1,"1,356",126,"1,230",332,37,295,"1,024",89,935,67,0,67,24,0,24,43,0,43,36,6,30
HI,2,"6,918","3,813","3,105","3,750","1,164","2,586","3,168","2,649",519,"1,301",199,"1,102","1,109",145,964,192,54,138,593,247,346
IA,3,"3,122","2,926",196,"1,544","1,368",176,"1,578","1,558",20,244,154,90,211,121,90,33,33,0,202,177,25
ID,2,"2,104","1,468",636,"1,234",848,386,870,620,250,244,105,139,156,69,87,88,36,52,215,135,80
IL,20,"13,107","11,409","1,698","7,350","5,793","1,557","5,757","5,616",141,"1,488","1,010",478,"1,349",891,458,139,119,20,"1,234",913,321
IN,3,"5,971","5,568",403,"3,953","3,560",393,"2,018","2,008",10,596,485,111,542,433,109,54,52,2,725,687,38
KS*,5,"2,783","2,534",249,"1,533","1,295",238,"1,250","1,239",11,320,212,108,290,184,106,30,28,2,393,356,37
KY,3,"5,089","4,258",831,"3,352","2,805",547,"1,737","1,453",284,727,499,228,614,424,190,113,75,38,600,558,42
LA,9,"4,606","3,503","1,103","3,444","2,364","1,080","1,162","1,139",23,776,262,514,743,232,511,33,30,3,437,332,105
MA,18,"21,237","20,478",759,"6,788","6,041",747,"14,449","14,437",12,"3,311","3,006",305,"1,590","1,285",305,"1,721","1,721",0,"1,264","1,234",30
MD,16,"7,856","6,267","1,589","4,980","3,872","1,108","2,876","2,395",481,"1,740","1,135",605,"1,515",997,518,225,138,87,654,555,99
ME,2,"2,726","2,633",93,"1,348","1,282",66,"1,378","1,351",27,244,218,26,218,200,18,26,18,8,152,138,14
MI,21,"12,227","10,075","2,152","7,535","5,916","1,619","4,692","4,159",533,"1,293",825,468,"1,160",745,415,133,80,53,"1,122",994,128
MN,10,"8,377","7,582",795,"3,652","3,006",646,"4,725","4,576",149,"1,235",889,346,885,562,323,350,327,23,317,263,54
MO,8,"7,282","6,309",973,"4,307","3,651",656,"2,975","2,658",317,997,714,283,735,469,266,262,245,17,652,563,89
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
