State,Number of CoCs,"Total Homeless, 2016","Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Homeless Veterans, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016"
AK,2,"1,940","1,498",442,"1,527","1,089",438,413,409,4,122,94,28,112,84,28,10,10,0,168,112,56,173,137,36,19,19,0,154,118,36,9,9,0,0,0,0,9,9,0,10,10,0
AL,8,"4,111","2,893","1,218","3,019","2,017","1,002","1,092",876,216,420,172,248,390,163,227,30,9,21,373,321,52,254,173,81,28,28,0,226,145,81,31,25,6,5,5,0,26,20,6,45,39,6
AR,7,"2,463","1,616",847,"1,838","1,140",698,625,476,149,503,226,277,417,163,254,86,63,23,222,159,63,201,117,84,49,49,0,152,68,84,13,13,0,0,0,0,13,13,0,13,13,0
AZ,3,"9,707","6,463","3,244","6,659","3,564","3,095","3,048","2,899",149,"1,395",468,927,"1,327",423,904,68,45,23,"1,036",663,373,589,431,158,100,92,8,489,339,150,150,150,0,1,1,0,149,149,0,222,222,0
CA,43,"118,142","39,752","78,390","97,660","23,720","73,940","20,482","16,032","4,450","31,548","4,478","27,070","29,802","3,910","25,892","1,746",568,"1,178","9,612","4,012","5,600","11,222","2,531","8,691",847,213,634,"10,375","2,318","8,057",862,751,111,10,10,0,852,741,111,"1,098",935,163
CO,3,"10,550","7,611","2,939","6,450","4,352","2,098","4,100","3,259",841,"1,829",949,880,"1,642",883,759,187,66,121,"1,181",906,275,653,383,270,39,26,13,614,357,257,157,133,24,2,1,1,155,132,23,217,187,30
CT,2,"3,902","3,229",673,"2,570","1,903",667,"1,332","1,326",6,467,282,185,439,254,185,28,28,0,216,173,43,119,97,22,8,8,0,111,89,22,61,60,1,0,0,0,61,60,1,93,92,1
DC,1,"8,350","8,032",318,"3,683","3,365",318,"4,667","4,667",0,"1,597","1,357",240,"1,501","1,261",240,96,96,0,350,322,28,211,178,33,10,10,0,201,168,33,527,527,0,0,0,0,527,527,0,688,688,0
DE,1,"1,070","1,019",51,753,702,51,317,317,0,74,72,2,65,63,2,9,9,0,107,103,4,51,46,5,0,0,0,51,46,5,10,10,0,0,0,0,10,10,0,20,20,0
FL,27,"33,559","18,198","15,361","24,201","11,641","12,560","9,358","6,557","2,801","5,895","1,402","4,493","5,415","1,219","4,196",480,183,297,"2,902","1,825","1,077","2,094","1,106",988,514,279,235,"1,580",827,753,320,237,83,5,5,0,315,232,83,485,383,102
